school,child rate 1km,child rate outside,pedestrian rate outside,population
Shenley Academy,3,1,1,3,8
Sacred Heart Catholic School,5,0,3,0,8
Rosslyn School,3,0,5,0,8
Park Hill Primary School,3,0,3,2,8
Northfield Manor Primary Academy,3,1,3,1,8
Nechells Primary E-ACT Academy,3,5,0,0,8
Lozells Junior and Infant School and Nursery,5,1,1,1,8
King Edward VI Five Ways School,3,1,0,4,8
Highters Heath Community School,3,0,5,0,8
Highclare School,5,0,1,2,8
Grestone Academy,3,3,0,2,8
Great Barr Primary School,1,3,3,1,8
Future First Independent School,3,5,0,0,8
Erdington Hall Primary School,3,1,3,1,8
EBN Academy Phase 2,5,3,0,0,8
Colmers School and Sixth Form College,1,1,3,3,8
City Road Primary School,3,1,3,1,8
Broadway Academy,3,1,1,3,8
Bournville School,3,3,0,2,8
Birmingham Independent College,5,0,3,0,8
Ark Victoria Academy,5,1,1,1,8
Ark Chamberlain Primary Academy,5,0,1,2,8
West House School,3,3,0,1,7
Warren Farm Primary School,5,0,1,1,7
Uffculme School,3,3,1,0,7
Turves Green Boys' School,3,1,1,2,7
Town Junior School,1,3,3,0,7
Timberley Academy,3,1,1,2,7
The Wisdom Academy,3,1,3,0,7
The Oval School,3,1,1,2,7
The Edge Academy,1,1,5,0,7
St Margaret Mary RC Junior and Infant School,3,0,3,1,7
St John Wall Catholic School,3,1,1,2,7
St George's Church of England Primary School,3,1,3,0,7
St Benedict's Infant School,5,0,1,1,7
Redhill Junior and Infant School,3,1,3,0,7
Reach School,1,3,3,0,7
Princethorpe Junior School,3,3,1,0,7
Princethorpe Infant School,3,3,1,0,7
Our Lady and St Rose of Lima Catholic Primary School,3,1,3,0,7
Nishkam Primary School Birmingham,5,0,1,1,7
Nishkam High School,5,0,0,2,7
Montgomery Primary Academy,5,0,0,2,7
Mayfield School,5,0,1,1,7
Kings Heath Boys,3,1,1,2,7
King David Junior and Infant School,3,1,3,0,7
Hollyfield Primary School,3,0,3,1,7
Heathlands Primary Academy,3,0,3,1,7
Fox Hollies School and Performing Arts College,3,3,1,0,7
East Birmingham Network Academy,3,1,3,0,7
Cottesbrooke Infant and Nursery School,3,0,3,1,7
City Academy,1,1,3,2,7
Christ The King Catholic Primary School,3,0,3,1,7
Benson Community School,5,0,0,2,7
Bartley Green School,3,1,1,2,7
Barford Primary School,3,0,3,1,7
Ark Kings Academy,3,3,0,1,7
Anglesey Primary School,5,0,0,2,7
Wilson Stuart School,3,0,3,0,6
Wattville Primary School,3,0,1,2,6
Turves Green Girls' School,3,1,0,2,6
Tiverton Academy,1,0,5,0,6
The Pines Special School,3,3,0,0,6
The Oratory Roman Catholic Primary School,3,0,3,0,6
The Oaklands Primary School,3,1,1,1,6
The Blue Coat School Birmingham,3,0,1,2,6
TLG North Birmingham,3,0,3,0,6
"St Michael's CofE Primary Academy, Handsworth",5,0,1,0,6
St Gerard's RC Junior and Infant School,5,1,0,0,6
St Cuthbert's RC Junior and Infant (NC) School,3,1,1,1,6
St Clement's Church of England Academy,3,0,3,0,6
St Augustine's Catholic Primary School,3,1,1,1,6
Saint Barnabas Church of England Primary School,5,0,0,1,6
Redstone Educational Academy,5,0,1,0,6
Quinton Church Primary School,3,3,0,0,6
Queensbridge School,3,1,0,2,6
Pegasus Primary School,5,1,0,0,6
Our Lady of Lourdes Catholic Primary School (NC),3,3,0,0,6
Mapledene Primary School,3,1,1,1,6
Leigh Primary School,3,0,1,2,6
King Edward VI Sheldon Heath Academy,3,0,0,3,6
Kimichi School,3,0,3,0,6
Hodge Hill College,3,0,0,3,6
Heath Mount Primary School,5,0,0,1,6
Hallfield School,3,1,0,2,6
Hall Green School,3,0,1,2,6
Greet Primary School,3,0,1,2,6
Green Meadow Primary School,3,1,1,1,6
Great Barr Academy,1,0,0,5,6
George Dixon Primary School,3,1,1,1,6
Firs Primary School,3,1,1,1,6
Featherstone Primary School,5,0,0,1,6
Colmers Farm Primary School,1,1,3,1,6
Cockshut Hill Technology College,1,1,1,3,6
Broadmeadow Junior School,1,0,5,0,6
Broadmeadow Infant School,1,0,5,0,6
Al-Ameen Primary School,3,0,3,0,6
Yorkmead Junior and Infant School,3,0,1,1,5
World's End Junior School,3,0,1,1,5
World's End Infant and Nursery School,3,0,1,1,5
Woodhouse Primary Academy,3,0,1,1,5
Wheelers Lane Technology College,3,0,0,2,5
Wheelers Lane Primary School,3,0,0,2,5
Topcliffe Primary School,5,0,0,0,5
The Priory Woodbourne Hospital School,1,1,3,0,5
St Thomas More Catholic Primary School,3,0,1,1,5
St Teresa's Catholic Primary School,5,0,0,0,5
St Peter's Catholic Primary School,3,1,1,0,5
St Paul's,5,0,0,0,5
St Michael's Church of England Primary School,3,1,0,1,5
St Mark's Catholic Primary School,1,1,3,0,5
St James Catholic Primary School,1,3,1,0,5
St Clare's Catholic Primary School,3,1,0,1,5
St Chad's Catholic Primary School,3,1,1,0,5
Paganel Primary School,3,0,1,1,5
Our Lady's Catholic Primary School,3,1,1,0,5
Oscott Academy,5,0,0,0,5
Oasis Academy Woodview,3,0,1,1,5
Oasis Academy Blakenhale Junior,1,0,3,1,5
Oasis Academy Blakenhale Infants,1,0,3,1,5
New Oscott Primary School,3,0,0,2,5
Merritts Brook Primary E-ACT Academy,1,1,3,0,5
Marsh Hill Primary School,3,0,1,1,5
Lordswood Girls' School and Sixth Form Centre,3,0,0,2,5
Lea Forest Primary Academy,3,1,0,1,5
Lakey Lane Junior and Infant School,3,1,0,1,5
Kingsthorne Primary School,3,0,1,1,5
King's Norton Boys' School,3,0,0,2,5
King Edward VI Aston School,3,0,0,2,5
Jervoise School,3,1,1,0,5
Hodge Hill Primary School,3,0,0,2,5
Gunter Primary School,1,1,3,0,5
Glenmead Primary School,3,1,0,1,5
George Dixon Academy,3,0,0,2,5
Edgbaston High School for Girls,3,0,0,2,5
Dame Elizabeth Cadbury School,1,1,1,2,5
Cherry Oak School,1,1,3,0,5
Cardinal Wiseman Catholic School,3,0,0,2,5
Brookfields Primary School,3,0,1,1,5
Billesley Primary School,3,0,0,2,5
Bells Farm Primary School,1,1,3,0,5
Bellfield Infant School (NC),1,0,3,1,5
Aston Manor Academy,3,0,0,2,5
Adderley Primary School,3,0,0,2,5
Yenton Primary School,3,0,0,1,4
Yardley Wood Community Primary School,3,0,0,1,4
Wylde Green Primary School,3,0,0,1,4
Woodgate Primary School,3,0,0,1,4
West Heath Primary School,3,0,0,1,4
The University of Birmingham School,1,0,1,2,4
The Lambs Christian School,3,1,0,0,4
Sundridge Primary School,3,1,0,0,4
St Wilfrid's Catholic Junior and Infant School,3,0,0,1,4
St Peters CofE Primary School,3,0,0,1,4
St Paul's School for Girls,1,0,0,3,4
